"","V1","V2","V3","int","r1","r2","r3","r4","total","percentage"
"1",13,105,1,0,0,0,0,0,0,0
"2",31,105,1,1,0,0,0,0,0,0
"3",32,105,3,2,1,1,1,1,4,100
"4",8,105,1,3,0,0,0,0,0,0
"5",1,11,1,4,0,0,0,0,0,0
"6",13,112,1,5,1,1,1,1,4,100
"7",24,11,12,6,1,1,1,1,4,100
"8",8,112,1,7,0,0,0,0,0,0
"9",30,11,1,8,0,0,0,0,0,0
"10",32,11,1,9,0,0,0,0,0,0
"11",41,11,2,10,0,0,0,0,0,0
"12",32,114,2,11,0,0,0,0,0,0
"13",8,114,2,12,1,1,0,0,2,50
"14",32,115,2,13,0,0,0,0,0,0
"15",8,115,1,14,0,0,0,0,0,0
"16",1,125,1,15,1,0,1,0,2,50
"17",31,125,1,16,0,1,0,1,2,50
"18",8,125,2,17,0,0,0,0,0,0
"19",24,13,1,18,0,0,0,0,0,0
"20",30,13,2,19,1,1,1,1,4,100
"21",24,175,1,20,0,0,0,0,0,0
"22",30,179,1,21,0,0,0,0,0,0
"23",24,181,3,22,0,0,0,0,0,0
"24",24,182,4,23,0,0,0,0,0,0
"25",24,184,5,24,0,0,0,0,0,0
"26",8,185,2,25,0,0,1,1,2,50
"27",24,186,1,26,0,0,0,0,0,0
"28",8,187,1,27,0,0,0,0,0,0
"29",24,190,1,28,0,0,0,0,0,0
"30",30,192,1,29,0,0,0,0,0,0
"31",30,195,1,30,0,0,0,0,0,0
"32",24,206,1,31,0,0,0,0,0,0
"33",24,210,1,32,0,0,0,0,0,0
"34",24,217,1,33,0,0,0,0,0,0
"35",24,242,1,34,0,0,0,0,0,0
"36",32,248,1,35,0,0,0,0,0,0
"37",21,45,1,36,1,1,1,1,4,100
"38",30,45,2,37,0,0,0,0,0,0
"39",30,61,1,38,0,0,0,0,0,0
"40",24,79,1,39,0,0,0,0,0,0
