"type","net","keep","n_driver","type.keep","net_name","n_species","n_no_driver","n_sources","n_sinks","n_ext_dil","eta_s","eta_e","eta_i"
"z-bi",1,"all",17,"z-bi.all","BAT1CA",35,18,0,0,0,0,0,1
"weight",1,"A",26,"weight.A","BAT1CA",35,9,2,26,24,0.0769230769230769,0.923076923076923,0
"weight",1,"B",26,"weight.B","BAT1CA",35,9,2,26,24,0.0769230769230769,0.923076923076923,0
"AB",1,"A",26,"AB.A","BAT1CA",35,9,26,9,0,1,0,0
"BA",1,"B",26,"BA.B","BAT1CA",35,9,9,26,17,0.346153846153846,0.653846153846154,0
"z-bi",2,"all",37,"z-bi.all","BAT2CA",57,20,0,0,0,0,0,1
"weight",2,"A",42,"weight.A","BAT2CA",57,15,4,42,38,0.0952380952380952,0.904761904761905,0
"weight",2,"B",43,"weight.B","BAT2CA",57,14,4,43,39,0.0930232558139535,0.906976744186046,1.11022302462516e-16
"AB",2,"A",47,"AB.A","BAT2CA",57,10,47,10,0,1,0,0
"BA",2,"B",47,"BA.B","BAT2CA",57,10,10,47,37,0.212765957446809,0.787234042553192,0
"z-bi",3,"all",17,"z-bi.all","FRA1OP",31,14,0,0,0,0,0,1
"weight",3,"A",21,"weight.A","FRA1OP",31,10,2,21,19,0.0952380952380952,0.904761904761905,0
"weight",3,"B",21,"weight.B","FRA1OP",31,10,2,21,19,0.0952380952380952,0.904761904761905,0
"AB",3,"A",23,"AB.A","FRA1OP",31,8,23,6,0,1,0,0
"BA",3,"B",23,"BA.B","FRA1OP",31,8,6,23,17,0.260869565217391,0.739130434782609,0
"z-bi",4,"all",16,"z-bi.all","FRA2OP",33,17,0,0,0,0,0,1
"weight",4,"A",21,"weight.A","FRA2OP",33,12,3,21,18,0.142857142857143,0.857142857142857,1.11022302462516e-16
"weight",4,"B",21,"weight.B","FRA2OP",33,12,3,21,18,0.142857142857143,0.857142857142857,1.11022302462516e-16
"AB",4,"A",22,"AB.A","FRA2OP",33,11,22,6,0,1,0,0
"BA",4,"B",22,"BA.B","FRA2OP",33,11,6,22,16,0.272727272727273,0.727272727272727,0
"z-bi",5,"all",15,"z-bi.all","MED1CA",35,20,0,0,0,0,0,1
"weight",5,"A",21,"weight.A","MED1CA",35,14,1,21,20,0.0476190476190476,0.952380952380952,0
"weight",5,"B",22,"weight.B","MED1CA",35,13,1,22,21,0.0454545454545455,0.954545454545455,0
"AB",5,"A",25,"AB.A","MED1CA",35,10,25,10,0,1,0,0
"BA",5,"B",25,"BA.B","MED1CA",35,10,10,25,15,0.4,0.6,0
"z-bi",6,"all",29,"z-bi.all","MED2CA",57,28,0,0,0,0,0,1
"weight",6,"A",39,"weight.A","MED2CA",57,18,3,39,36,0.0769230769230769,0.923076923076923,0
"weight",6,"B",39,"weight.B","MED2CA",57,18,3,39,36,0.0769230769230769,0.923076923076923,0
"AB",6,"A",43,"AB.A","MED2CA",57,14,43,14,0,1,0,0
"BA",6,"B",43,"BA.B","MED2CA",57,14,14,43,29,0.325581395348837,0.674418604651163,0
"z-bi",7,"all",20,"z-bi.all","MED3CA",40,20,0,0,0,0,0,1
"weight",7,"A",27,"weight.A","MED3CA",40,13,4,27,23,0.148148148148148,0.851851851851852,0
"weight",7,"B",27,"weight.B","MED3CA",40,13,4,27,23,0.148148148148148,0.851851851851852,0
"AB",7,"A",29,"AB.A","MED3CA",40,11,29,9,0,1,0,0
"BA",7,"B",29,"BA.B","MED3CA",40,11,9,29,20,0.310344827586207,0.689655172413793,0
"z-bi",8,"all",16,"z-bi.all","MED4CA",38,22,0,0,0,0,0,1
"weight",8,"A",21,"weight.A","MED4CA",38,17,2,21,19,0.0952380952380952,0.904761904761905,0
"weight",8,"B",22,"weight.B","MED4CA",38,16,3,22,19,0.136363636363636,0.863636363636364,0
"AB",8,"A",27,"AB.A","MED4CA",38,11,27,11,0,1,0,0
"BA",8,"B",27,"BA.B","MED4CA",38,11,11,27,16,0.407407407407407,0.592592592592593,0
"z-bi",9,"all",19,"z-bi.all","MIQ1OP",35,16,0,0,0,0,0,1
"weight",9,"A",24,"weight.A","MIQ1OP",35,11,3,24,21,0.125,0.875,0
"weight",9,"B",24,"weight.B","MIQ1OP",35,11,3,24,21,0.125,0.875,0
"AB",9,"A",26,"AB.A","MIQ1OP",35,9,26,7,0,1,0,0
"BA",9,"B",26,"BA.B","MIQ1OP",35,9,7,26,19,0.269230769230769,0.730769230769231,1.11022302462516e-16
"z-bi",10,"all",16,"z-bi.all","MIQ2OP",32,16,0,0,0,0,0,1
"weight",10,"A",22,"weight.A","MIQ2OP",32,10,2,22,20,0.0909090909090909,0.909090909090909,0
"weight",10,"B",22,"weight.B","MIQ2OP",32,10,3,22,19,0.136363636363636,0.863636363636364,0
"AB",10,"A",24,"AB.A","MIQ2OP",32,8,24,8,0,1,0,0
"BA",10,"B",24,"BA.B","MIQ2OP",32,8,8,24,16,0.333333333333333,0.666666666666667,1.11022302462516e-16
"z-bi",11,"all",11,"z-bi.all","SEL1OP",30,19,0,0,0,0,0,1
"weight",11,"A",16,"weight.A","SEL1OP",30,14,1,16,15,0.0625,0.9375,0
"weight",11,"B",17,"weight.B","SEL1OP",30,13,2,17,15,0.117647058823529,0.882352941176471,0
"AB",11,"A",18,"AB.A","SEL1OP",30,12,18,7,0,1,0,0
"BA",11,"B",18,"BA.B","SEL1OP",30,12,7,18,11,0.388888888888889,0.611111111111111,0
"z-bi",12,"all",19,"z-bi.all","SEL2OP",37,18,0,0,0,0,0,1
