"file","line","m"
"BAT1CA_BA_B.dat",1,1
"BAT1CA_weight_A.dat",1,1
"BAT1CA_weight_B.dat",1,1
"FRA1OP_AB_A.dat",1,1
"FRA1OP_BA_B.dat",1,1
"FRA1OP_weight_A.dat",1,1
"FRA1OP_weight_B.dat",1,1
"FRA2OP_AB_A.dat",1,1
"FRA2OP_BA_B.dat",1,1
"FRA2OP_weight_A.dat",1,1
"FRA2OP_weight_B.dat",1,1
"MED1CA_AB_A.dat",1,1
"MED1CA_BA_B.dat",1,1
"MED1CA_weight_A.dat",1,1
"MED1CA_weight_B.dat",1,1
"MED3CA_AB_A.dat",1,1
"MED3CA_BA_B.dat",1,1
"MED3CA_weight_A.dat",1,1
"MED3CA_weight_B.dat",1,1
"MIQ1OP_AB_A.dat",1,1
"MIQ1OP_BA_B.dat",1,1
"MIQ1OP_weight_A.dat",1,1
"MIQ1OP_weight_B.dat",1,1
"MIQ2OP_AB_A.dat",1,1
"MIQ2OP_BA_B.dat",1,1
"MIQ2OP_weight_A.dat",1,1
"MIQ2OP_weight_B.dat",1,1
"SEL1OP_AB_A.dat",1,1
"SEL1OP_BA_B.dat",1,1
"SEL1OP_weight_A.dat",1,1
"SEL1OP_weight_B.dat",1,1
"SEL2OP_AB_A.dat",1,1
"SEL2OP_BA_B.dat",1,1
"SEL2OP_weight_A.dat",1,1
"SEL2OP_weight_B.dat",1,1
"BAT1CA_z-bi_all.dat",1,300001
"BAT1CA_z-bi_all.dat",100001,300001
"BAT1CA_z-bi_all.dat",200001,300001
"BAT1CA_z-bi_all.dat",300001,300001
"SEL1OP_z-bi_all.dat",1,400001
"SEL1OP_z-bi_all.dat",100001,400001
"SEL1OP_z-bi_all.dat",200001,400001
"SEL1OP_z-bi_all.dat",300001,400001
"SEL1OP_z-bi_all.dat",400001,400001
"FRA2OP_z-bi_all.dat",1,1000001
"FRA2OP_z-bi_all.dat",100001,1000001
"FRA2OP_z-bi_all.dat",200001,1000001
"FRA2OP_z-bi_all.dat",300001,1000001
"FRA2OP_z-bi_all.dat",400001,1000001
"FRA2OP_z-bi_all.dat",500001,1000001
"FRA2OP_z-bi_all.dat",600001,1000001
"FRA2OP_z-bi_all.dat",700001,1000001
"FRA2OP_z-bi_all.dat",800001,1000001
"FRA2OP_z-bi_all.dat",900001,1000001
"FRA2OP_z-bi_all.dat",1000001,1000001
"MED4CA_weight_A.dat",1,1100001
"MED4CA_weight_A.dat",100001,1100001
"MED4CA_weight_A.dat",200001,1100001
"MED4CA_weight_A.dat",300001,1100001
"MED4CA_weight_A.dat",400001,1100001
"MED4CA_weight_A.dat",500001,1100001
"MED4CA_weight_A.dat",600001,1100001
"MED4CA_weight_A.dat",700001,1100001
"MED4CA_weight_A.dat",800001,1100001
"MED4CA_weight_A.dat",900001,1100001
"MED4CA_weight_A.dat",1000001,1100001
"MED4CA_weight_A.dat",1100001,1100001
"MED4CA_AB_A.dat",1,1200001
"MED4CA_BA_B.dat",1,1200001
"MED4CA_AB_A.dat",100001,1200001
"MED4CA_BA_B.dat",100001,1200001
"MED4CA_AB_A.dat",200001,1200001
"MED4CA_BA_B.dat",200001,1200001
"MED4CA_AB_A.dat",300001,1200001
"MED4CA_BA_B.dat",300001,1200001
"MED4CA_AB_A.dat",400001,1200001
"MED4CA_BA_B.dat",400001,1200001
"MED4CA_AB_A.dat",500001,1200001
"MED4CA_BA_B.dat",500001,1200001
"MED4CA_AB_A.dat",600001,1200001
"MED4CA_BA_B.dat",600001,1200001
"MED4CA_AB_A.dat",700001,1200001
"MED4CA_BA_B.dat",700001,1200001
"MED4CA_AB_A.dat",800001,1200001
"MED4CA_BA_B.dat",800001,1200001
"MED4CA_AB_A.dat",900001,1200001
"MED4CA_BA_B.dat",900001,1200001
"MED4CA_AB_A.dat",1000001,1200001
"MED4CA_BA_B.dat",1000001,1200001
"MED4CA_AB_A.dat",1100001,1200001
"MED4CA_BA_B.dat",1100001,1200001
"MED4CA_AB_A.dat",1200001,1200001
"MED4CA_BA_B.dat",1200001,1200001
"BAT2CA_weight_A.dat",1,1300001
"BAT2CA_weight_A.dat",100001,1300001
"BAT2CA_weight_A.dat",200001,1300001
"BAT2CA_weight_A.dat",300001,1300001
"BAT2CA_weight_A.dat",400001,1300001
"BAT2CA_weight_A.dat",500001,1300001
"BAT2CA_weight_A.dat",600001,1300001
"BAT2CA_weight_A.dat",700001,1300001
"BAT2CA_weight_A.dat",800001,1300001
"BAT2CA_weight_A.dat",900001,1300001
"BAT2CA_weight_A.dat",1000001,1300001
"BAT2CA_weight_A.dat",1100001,1300001
"BAT2CA_weight_A.dat",1200001,1300001
"BAT2CA_weight_A.dat",1300001,1300001
"FRA1OP_z-bi_all.dat",1,1600001
"FRA1OP_z-bi_all.dat",100001,1600001
"FRA1OP_z-bi_all.dat",200001,1600001
"FRA1OP_z-bi_all.dat",300001,1600001
"FRA1OP_z-bi_all.dat",400001,1600001
"FRA1OP_z-bi_all.dat",500001,1600001
"FRA1OP_z-bi_all.dat",600001,1600001
"FRA1OP_z-bi_all.dat",700001,1600001
"FRA1OP_z-bi_all.dat",800001,1600001
"FRA1OP_z-bi_all.dat",900001,1600001
"FRA1OP_z-bi_all.dat",1000001,1600001
"FRA1OP_z-bi_all.dat",1100001,1600001
"FRA1OP_z-bi_all.dat",1200001,1600001
"FRA1OP_z-bi_all.dat",1300001,1600001
"FRA1OP_z-bi_all.dat",1400001,1600001
"FRA1OP_z-bi_all.dat",1500001,1600001
"FRA1OP_z-bi_all.dat",1600001,1600001
"MED4CA_weight_B.dat",1,1900001
"MED4CA_weight_B.dat",100001,1900001
"MED4CA_weight_B.dat",200001,1900001
"MED4CA_weight_B.dat",300001,1900001
"MED4CA_weight_B.dat",400001,1900001
"MED4CA_weight_B.dat",500001,1900001
"MED4CA_weight_B.dat",600001,1900001
"MED4CA_weight_B.dat",700001,1900001
"MED4CA_weight_B.dat",800001,1900001
"MED4CA_weight_B.dat",900001,1900001
"MED4CA_weight_B.dat",1000001,1900001
"MED4CA_weight_B.dat",1100001,1900001
"MED4CA_weight_B.dat",1200001,1900001
"MED4CA_weight_B.dat",1300001,1900001
"MED4CA_weight_B.dat",1400001,1900001
"MED4CA_weight_B.dat",1500001,1900001
"MED4CA_weight_B.dat",1600001,1900001
"MED4CA_weight_B.dat",1700001,1900001
"MED4CA_weight_B.dat",1800001,1900001
"MED4CA_weight_B.dat",1900001,1900001
"SEL2OP_z-bi_all.dat",1,5700001
"SEL2OP_z-bi_all.dat",100001,5700001
"SEL2OP_z-bi_all.dat",200001,5700001
"SEL2OP_z-bi_all.dat",300001,5700001
"SEL2OP_z-bi_all.dat",400001,5700001
"SEL2OP_z-bi_all.dat",500001,5700001
"SEL2OP_z-bi_all.dat",600001,5700001
"SEL2OP_z-bi_all.dat",700001,5700001
"SEL2OP_z-bi_all.dat",800001,5700001
"SEL2OP_z-bi_all.dat",900001,5700001
"SEL2OP_z-bi_all.dat",1000001,5700001
"SEL2OP_z-bi_all.dat",1100001,5700001
"SEL2OP_z-bi_all.dat",1200001,5700001
"SEL2OP_z-bi_all.dat",1300001,5700001
"SEL2OP_z-bi_all.dat",1400001,5700001
"SEL2OP_z-bi_all.dat",1500001,5700001
"SEL2OP_z-bi_all.dat",1600001,5700001
"SEL2OP_z-bi_all.dat",1700001,5700001
"SEL2OP_z-bi_all.dat",1800001,5700001
"SEL2OP_z-bi_all.dat",1900001,5700001
"SEL2OP_z-bi_all.dat",2000001,5700001
"SEL2OP_z-bi_all.dat",2100001,5700001
"SEL2OP_z-bi_all.dat",2200001,5700001
"SEL2OP_z-bi_all.dat",2300001,5700001
"SEL2OP_z-bi_all.dat",2400001,5700001
"SEL2OP_z-bi_all.dat",2500001,5700001
"SEL2OP_z-bi_all.dat",2600001,5700001
"SEL2OP_z-bi_all.dat",2700001,5700001
"SEL2OP_z-bi_all.dat",2800001,5700001
"SEL2OP_z-bi_all.dat",2900001,5700001
"SEL2OP_z-bi_all.dat",3000001,5700001
"SEL2OP_z-bi_all.dat",3100001,5700001
"SEL2OP_z-bi_all.dat",3200001,5700001
"SEL2OP_z-bi_all.dat",3300001,5700001
"SEL2OP_z-bi_all.dat",3400001,5700001
"SEL2OP_z-bi_all.dat",3500001,5700001
"SEL2OP_z-bi_all.dat",3600001,5700001
"SEL2OP_z-bi_all.dat",3700001,5700001
"SEL2OP_z-bi_all.dat",3800001,5700001
"SEL2OP_z-bi_all.dat",3900001,5700001
"SEL2OP_z-bi_all.dat",4000001,5700001
"SEL2OP_z-bi_all.dat",4100001,5700001
"SEL2OP_z-bi_all.dat",4200001,5700001
"SEL2OP_z-bi_all.dat",4300001,5700001
"SEL2OP_z-bi_all.dat",4400001,5700001
"SEL2OP_z-bi_all.dat",4500001,5700001
"SEL2OP_z-bi_all.dat",4600001,5700001
"SEL2OP_z-bi_all.dat",4700001,5700001
"SEL2OP_z-bi_all.dat",4800001,5700001
"SEL2OP_z-bi_all.dat",4900001,5700001
"SEL2OP_z-bi_all.dat",5000001,5700001
"SEL2OP_z-bi_all.dat",5100001,5700001
"SEL2OP_z-bi_all.dat",5200001,5700001
"SEL2OP_z-bi_all.dat",5300001,5700001
"SEL2OP_z-bi_all.dat",5400001,5700001
"SEL2OP_z-bi_all.dat",5500001,5700001
"SEL2OP_z-bi_all.dat",5600001,5700001
"SEL2OP_z-bi_all.dat",5700001,5700001
"BAT2CA_weight_B.dat",1,6900001
"BAT2CA_weight_B.dat",100001,6900001
"BAT2CA_weight_B.dat",200001,6900001
"BAT2CA_weight_B.dat",300001,6900001
"BAT2CA_weight_B.dat",400001,6900001
"BAT2CA_weight_B.dat",500001,6900001
"BAT2CA_weight_B.dat",600001,6900001
"BAT2CA_weight_B.dat",700001,6900001
"BAT2CA_weight_B.dat",800001,6900001
"BAT2CA_weight_B.dat",900001,6900001
"BAT2CA_weight_B.dat",1000001,6900001
"BAT2CA_weight_B.dat",1100001,6900001
"BAT2CA_weight_B.dat",1200001,6900001
"BAT2CA_weight_B.dat",1300001,6900001
"BAT2CA_weight_B.dat",1400001,6900001
"BAT2CA_weight_B.dat",1500001,6900001
"BAT2CA_weight_B.dat",1600001,6900001
"BAT2CA_weight_B.dat",1700001,6900001
"BAT2CA_weight_B.dat",1800001,6900001
"BAT2CA_weight_B.dat",1900001,6900001
"BAT2CA_weight_B.dat",2000001,6900001
"BAT2CA_weight_B.dat",2100001,6900001
"BAT2CA_weight_B.dat",2200001,6900001
"BAT2CA_weight_B.dat",2300001,6900001
"BAT2CA_weight_B.dat",2400001,6900001
"BAT2CA_weight_B.dat",2500001,6900001
"BAT2CA_weight_B.dat",2600001,6900001
"BAT2CA_weight_B.dat",2700001,6900001
"BAT2CA_weight_B.dat",2800001,6900001
"BAT2CA_weight_B.dat",2900001,6900001
"BAT2CA_weight_B.dat",3000001,6900001
"BAT2CA_weight_B.dat",3100001,6900001
"BAT2CA_weight_B.dat",3200001,6900001
"BAT2CA_weight_B.dat",3300001,6900001
"BAT2CA_weight_B.dat",3400001,6900001
"BAT2CA_weight_B.dat",3500001,6900001
"BAT2CA_weight_B.dat",3600001,6900001
"BAT2CA_weight_B.dat",3700001,6900001
"BAT2CA_weight_B.dat",3800001,6900001
"BAT2CA_weight_B.dat",3900001,6900001
"BAT2CA_weight_B.dat",4000001,6900001
"BAT2CA_weight_B.dat",4100001,6900001
"BAT2CA_weight_B.dat",4200001,6900001
"BAT2CA_weight_B.dat",4300001,6900001
"BAT2CA_weight_B.dat",4400001,6900001
"BAT2CA_weight_B.dat",4500001,6900001
"BAT2CA_weight_B.dat",4600001,6900001
"BAT2CA_weight_B.dat",4700001,6900001
"BAT2CA_weight_B.dat",4800001,6900001
"BAT2CA_weight_B.dat",4900001,6900001
"BAT2CA_weight_B.dat",5000001,6900001
"BAT2CA_weight_B.dat",5100001,6900001
"BAT2CA_weight_B.dat",5200001,6900001
"BAT2CA_weight_B.dat",5300001,6900001
"BAT2CA_weight_B.dat",5400001,6900001
"BAT2CA_weight_B.dat",5500001,6900001
"BAT2CA_weight_B.dat",5600001,6900001
"BAT2CA_weight_B.dat",5700001,6900001
"BAT2CA_weight_B.dat",5800001,6900001
"BAT2CA_weight_B.dat",5900001,6900001
"BAT2CA_weight_B.dat",6000001,6900001
"BAT2CA_weight_B.dat",6100001,6900001
"BAT2CA_weight_B.dat",6200001,6900001
"BAT2CA_weight_B.dat",6300001,6900001
"BAT2CA_weight_B.dat",6400001,6900001
"BAT2CA_weight_B.dat",6500001,6900001
"BAT2CA_weight_B.dat",6600001,6900001
"BAT2CA_weight_B.dat",6700001,6900001
"BAT2CA_weight_B.dat",6800001,6900001
"BAT2CA_weight_B.dat",6900001,6900001
"BAT2CA_AB_A.dat",1,13100001
"BAT2CA_BA_B.dat",1,13100001
"BAT2CA_AB_A.dat",100001,13100001
"BAT2CA_BA_B.dat",100001,13100001
"BAT2CA_AB_A.dat",200001,13100001
"BAT2CA_BA_B.dat",200001,13100001
"BAT2CA_AB_A.dat",300001,13100001
"BAT2CA_BA_B.dat",300001,13100001
"BAT2CA_AB_A.dat",400001,13100001
"BAT2CA_BA_B.dat",400001,13100001
"BAT2CA_AB_A.dat",500001,13100001
"BAT2CA_BA_B.dat",500001,13100001
"BAT2CA_AB_A.dat",600001,13100001
"BAT2CA_BA_B.dat",600001,13100001
"BAT2CA_AB_A.dat",700001,13100001
"BAT2CA_BA_B.dat",700001,13100001
"BAT2CA_AB_A.dat",800001,13100001
"BAT2CA_BA_B.dat",800001,13100001
"BAT2CA_AB_A.dat",900001,13100001
"BAT2CA_BA_B.dat",900001,13100001
"BAT2CA_AB_A.dat",1000001,13100001
"BAT2CA_BA_B.dat",1000001,13100001
"BAT2CA_AB_A.dat",1100001,13100001
"BAT2CA_BA_B.dat",1100001,13100001
"BAT2CA_AB_A.dat",1200001,13100001
"BAT2CA_BA_B.dat",1200001,13100001
"BAT2CA_AB_A.dat",1300001,13100001
"BAT2CA_BA_B.dat",1300001,13100001
"BAT2CA_AB_A.dat",1400001,13100001
"BAT2CA_BA_B.dat",1400001,13100001
"BAT2CA_AB_A.dat",1500001,13100001
"BAT2CA_BA_B.dat",1500001,13100001
"BAT2CA_AB_A.dat",1600001,13100001
"BAT2CA_BA_B.dat",1600001,13100001
"BAT2CA_AB_A.dat",1700001,13100001
"BAT2CA_BA_B.dat",1700001,13100001
"BAT2CA_AB_A.dat",1800001,13100001
"BAT2CA_BA_B.dat",1800001,13100001
"BAT2CA_AB_A.dat",1900001,13100001
"BAT2CA_BA_B.dat",1900001,13100001
"BAT2CA_AB_A.dat",2000001,13100001
"BAT2CA_BA_B.dat",2000001,13100001
"BAT2CA_AB_A.dat",2100001,13100001
"BAT2CA_BA_B.dat",2100001,13100001
"BAT2CA_AB_A.dat",2200001,13100001
"BAT2CA_BA_B.dat",2200001,13100001
"BAT2CA_AB_A.dat",2300001,13100001
"BAT2CA_BA_B.dat",2300001,13100001
"BAT2CA_AB_A.dat",2400001,13100001
"BAT2CA_BA_B.dat",2400001,13100001
"BAT2CA_AB_A.dat",2500001,13100001
"BAT2CA_BA_B.dat",2500001,13100001
"BAT2CA_AB_A.dat",2600001,13100001
"BAT2CA_BA_B.dat",2600001,13100001
"BAT2CA_AB_A.dat",2700001,13100001
"BAT2CA_BA_B.dat",2700001,13100001
"BAT2CA_AB_A.dat",2800001,13100001
"BAT2CA_BA_B.dat",2800001,13100001
"BAT2CA_AB_A.dat",2900001,13100001
"BAT2CA_BA_B.dat",2900001,13100001
"BAT2CA_AB_A.dat",3000001,13100001
"BAT2CA_BA_B.dat",3000001,13100001
"BAT2CA_AB_A.dat",3100001,13100001
"BAT2CA_BA_B.dat",3100001,13100001
"BAT2CA_AB_A.dat",3200001,13100001
"BAT2CA_BA_B.dat",3200001,13100001
"BAT2CA_AB_A.dat",3300001,13100001
"BAT2CA_BA_B.dat",3300001,13100001
"BAT2CA_AB_A.dat",3400001,13100001
"BAT2CA_BA_B.dat",3400001,13100001
"BAT2CA_AB_A.dat",3500001,13100001
"BAT2CA_BA_B.dat",3500001,13100001
"BAT2CA_AB_A.dat",3600001,13100001
"BAT2CA_BA_B.dat",3600001,13100001
"BAT2CA_AB_A.dat",3700001,13100001
"BAT2CA_BA_B.dat",3700001,13100001
"BAT2CA_AB_A.dat",3800001,13100001
"BAT2CA_BA_B.dat",3800001,13100001
"BAT2CA_AB_A.dat",3900001,13100001
"BAT2CA_BA_B.dat",3900001,13100001
"BAT2CA_AB_A.dat",4000001,13100001
"BAT2CA_BA_B.dat",4000001,13100001
"BAT2CA_AB_A.dat",4100001,13100001
