"node","freq","name","type"
5,590,"BAT1CA","AB"
6,590,"BAT1CA","AB"
10,590,"BAT1CA","AB"
13,590,"BAT1CA","AB"
15,590,"BAT1CA","AB"
17,40,"BAT1CA","AB"
18,110,"BAT1CA","AB"
19,50,"BAT1CA","AB"
20,50,"BAT1CA","AB"
21,50,"BAT1CA","AB"
22,50,"BAT1CA","AB"
23,50,"BAT1CA","AB"
24,50,"BAT1CA","AB"
25,50,"BAT1CA","AB"
26,50,"BAT1CA","AB"
27,50,"BAT1CA","AB"
28,50,"BAT1CA","AB"
29,50,"BAT1CA","AB"
30,120,"BAT1CA","AB"
31,120,"BAT1CA","AB"
32,120,"BAT1CA","AB"
33,120,"BAT1CA","AB"
34,177,"BAT1CA","AB"
35,118,"BAT1CA","AB"
36,177,"BAT1CA","AB"
37,118,"BAT1CA","AB"
38,236,"BAT1CA","AB"
39,177,"BAT1CA","AB"
40,177,"BAT1CA","AB"
1,2537,"BAT1CA","BA"
2,1883,"BAT1CA","BA"
3,2301,"BAT1CA","BA"
4,3889,"BAT1CA","BA"
5,6247,"BAT1CA","BA"
6,50,"BAT1CA","BA"
7,432,"BAT1CA","BA"
8,535,"BAT1CA","BA"
9,535,"BAT1CA","BA"
10,535,"BAT1CA","BA"
11,535,"BAT1CA","BA"
12,535,"BAT1CA","BA"
13,535,"BAT1CA","BA"
14,535,"BAT1CA","BA"
15,535,"BAT1CA","BA"
16,535,"BAT1CA","BA"
17,535,"BAT1CA","BA"
18,535,"BAT1CA","BA"
19,120,"BAT1CA","BA"
20,120,"BAT1CA","BA"
21,1143,"BAT1CA","BA"
22,1246,"BAT1CA","BA"
23,1246,"BAT1CA","BA"
24,1246,"BAT1CA","BA"
25,1246,"BAT1CA","BA"
26,3540,"BAT1CA","BA"
27,1647,"BAT1CA","BA"
28,236,"BAT1CA","BA"
29,708,"BAT1CA","BA"
30,1680,"BAT1CA","BA"
31,1680,"BAT1CA","BA"
32,2063,"BAT1CA","BA"
33,3424,"BAT1CA","BA"
34,354,"BAT1CA","BA"
35,531,"BAT1CA","BA"
36,708,"BAT1CA","BA"
37,1002,"BAT1CA","BA"
38,1002,"BAT1CA","BA"
39,1385,"BAT1CA","BA"
40,1385,"BAT1CA","BA"
1,450,"BAT1CA","weight"
2,375,"BAT1CA","weight"
3,450,"BAT1CA","weight"
4,450,"BAT1CA","weight"
5,450,"BAT1CA","weight"
6,450,"BAT1CA","weight"
7,450,"BAT1CA","weight"
8,450,"BAT1CA","weight"
9,450,"BAT1CA","weight"
10,450,"BAT1CA","weight"
11,450,"BAT1CA","weight"
12,450,"BAT1CA","weight"
13,450,"BAT1CA","weight"
14,975,"BAT1CA","weight"
15,900,"BAT1CA","weight"
16,975,"BAT1CA","weight"
17,975,"BAT1CA","weight"
18,975,"BAT1CA","weight"
19,975,"BAT1CA","weight"
20,1386,"BAT1CA","weight"
21,1386,"BAT1CA","weight"
22,1386,"BAT1CA","weight"
23,1617,"BAT1CA","weight"
24,924,"BAT1CA","weight"
25,693,"BAT1CA","weight"
26,924,"BAT1CA","weight"
27,693,"BAT1CA","weight"
28,693,"BAT1CA","weight"
29,924,"BAT1CA","weight"
30,924,"BAT1CA","weight"
32,1925,"BAT1CA","weight"
33,1925,"BAT1CA","weight"
34,1925,"BAT1CA","weight"
35,5775,"BAT1CA","weight"
38,5775,"BAT1CA","weight"
39,5775,"BAT1CA","weight"
40,5775,"BAT1CA","weight"
1,16170,"BAT1CA","weight"
2,1260,"BAT1CA","weight"
3,1050,"BAT1CA","weight"
4,1260,"BAT1CA","weight"
5,1260,"BAT1CA","weight"
6,1260,"BAT1CA","weight"
7,1260,"BAT1CA","weight"
8,1260,"BAT1CA","weight"
9,1260,"BAT1CA","weight"
10,1260,"BAT1CA","weight"
11,1260,"BAT1CA","weight"
12,1260,"BAT1CA","weight"
13,1260,"BAT1CA","weight"
14,1260,"BAT1CA","weight"
15,2730,"BAT1CA","weight"
16,2520,"BAT1CA","weight"
17,2730,"BAT1CA","weight"
18,2730,"BAT1CA","weight"
19,2730,"BAT1CA","weight"
20,2730,"BAT1CA","weight"
21,3850,"BAT1CA","weight"
