"n","robustness","d_driver","net","type","keep"
1,"ordinary",0,"BAT1CA","AB","A"
2,"ordinary",0,"BAT1CA","AB","A"
3,"ordinary",0,"BAT1CA","AB","A"
4,"ordinary",0,"BAT1CA","AB","A"
5,"ordinary",0,"BAT1CA","AB","A"
6,"ordinary",0,"BAT1CA","AB","A"
7,"ordinary",0,"BAT1CA","AB","A"
8,"ordinary",0,"BAT1CA","AB","A"
9,"ordinary",0,"BAT1CA","AB","A"
10,"ordinary",0,"BAT1CA","AB","A"
11,"ordinary",0,"BAT1CA","AB","A"
12,"ordinary",0,"BAT1CA","AB","A"
13,"ordinary",0,"BAT1CA","AB","A"
14,"ordinary",0,"BAT1CA","AB","A"
15,"redundant",-1,"BAT1CA","AB","A"
16,"redundant",-1,"BAT1CA","AB","A"
17,"redundant",-1,"BAT1CA","AB","A"
18,"redundant",-1,"BAT1CA","AB","A"
19,"redundant",-1,"BAT1CA","AB","A"
20,"redundant",-1,"BAT1CA","AB","A"
21,"redundant",-1,"BAT1CA","AB","A"
22,"redundant",-1,"BAT1CA","AB","A"
23,"redundant",-1,"BAT1CA","AB","A"
24,"redundant",-1,"BAT1CA","AB","A"
25,"redundant",-1,"BAT1CA","AB","A"
26,"redundant",-1,"BAT1CA","AB","A"
27,"redundant",-1,"BAT1CA","AB","A"
28,"redundant",-1,"BAT1CA","AB","A"
29,"redundant",-1,"BAT1CA","AB","A"
30,"redundant",-1,"BAT1CA","AB","A"
31,"redundant",-1,"BAT1CA","AB","A"
32,"redundant",-1,"BAT1CA","AB","A"
33,"redundant",-1,"BAT1CA","AB","A"
34,"redundant",-1,"BAT1CA","AB","A"
35,"redundant",-1,"BAT1CA","AB","A"
1,"ordinary",0,"BAT1CA","BA","B"
2,"ordinary",0,"BAT1CA","BA","B"
3,"ordinary",0,"BAT1CA","BA","B"
4,"redundant",-1,"BAT1CA","BA","B"
5,"ordinary",0,"BAT1CA","BA","B"
6,"ordinary",0,"BAT1CA","BA","B"
7,"ordinary",0,"BAT1CA","BA","B"
8,"redundant",-1,"BAT1CA","BA","B"
9,"ordinary",0,"BAT1CA","BA","B"
10,"redundant",-1,"BAT1CA","BA","B"
11,"ordinary",0,"BAT1CA","BA","B"
12,"ordinary",0,"BAT1CA","BA","B"
13,"ordinary",0,"BAT1CA","BA","B"
14,"ordinary",0,"BAT1CA","BA","B"
15,"redundant",-1,"BAT1CA","BA","B"
16,"redundant",-1,"BAT1CA","BA","B"
17,"redundant",-1,"BAT1CA","BA","B"
18,"redundant",-1,"BAT1CA","BA","B"
19,"redundant",-1,"BAT1CA","BA","B"
20,"redundant",-1,"BAT1CA","BA","B"
21,"redundant",-1,"BAT1CA","BA","B"
22,"redundant",-1,"BAT1CA","BA","B"
23,"redundant",-1,"BAT1CA","BA","B"
24,"redundant",-1,"BAT1CA","BA","B"
25,"redundant",-1,"BAT1CA","BA","B"
26,"redundant",-1,"BAT1CA","BA","B"
27,"redundant",-1,"BAT1CA","BA","B"
28,"redundant",-1,"BAT1CA","BA","B"
29,"redundant",-1,"BAT1CA","BA","B"
30,"redundant",-1,"BAT1CA","BA","B"
31,"redundant",-1,"BAT1CA","BA","B"
32,"redundant",-1,"BAT1CA","BA","B"
33,"redundant",-1,"BAT1CA","BA","B"
34,"redundant",-1,"BAT1CA","BA","B"
35,"redundant",-1,"BAT1CA","BA","B"
1,"ordinary",0,"BAT1CA","weight","A"
2,"ordinary",0,"BAT1CA","weight","A"
3,"ordinary",0,"BAT1CA","weight","A"
4,"ordinary",0,"BAT1CA","weight","A"
5,"ordinary",0,"BAT1CA","weight","A"
6,"ordinary",0,"BAT1CA","weight","A"
7,"ordinary",0,"BAT1CA","weight","A"
8,"redundant",-1,"BAT1CA","weight","A"
9,"ordinary",0,"BAT1CA","weight","A"
10,"ordinary",0,"BAT1CA","weight","A"
11,"ordinary",0,"BAT1CA","weight","A"
12,"ordinary",0,"BAT1CA","weight","A"
13,"ordinary",0,"BAT1CA","weight","A"
14,"ordinary",0,"BAT1CA","weight","A"
15,"redundant",-1,"BAT1CA","weight","A"
16,"redundant",-1,"BAT1CA","weight","A"
17,"redundant",-1,"BAT1CA","weight","A"
18,"redundant",-1,"BAT1CA","weight","A"
19,"redundant",-1,"BAT1CA","weight","A"
20,"redundant",-1,"BAT1CA","weight","A"
21,"redundant",-1,"BAT1CA","weight","A"
22,"redundant",-1,"BAT1CA","weight","A"
23,"redundant",-1,"BAT1CA","weight","A"
24,"redundant",-1,"BAT1CA","weight","A"
25,"redundant",-1,"BAT1CA","weight","A"
26,"redundant",-1,"BAT1CA","weight","A"
27,"redundant",-1,"BAT1CA","weight","A"
28,"redundant",-1,"BAT1CA","weight","A"
29,"redundant",-1,"BAT1CA","weight","A"
30,"redundant",-1,"BAT1CA","weight","A"
31,"redundant",-1,"BAT1CA","weight","A"
32,"redundant",-1,"BAT1CA","weight","A"
33,"redundant",-1,"BAT1CA","weight","A"
34,"redundant",-1,"BAT1CA","weight","A"
35,"redundant",-1,"BAT1CA","weight","A"
1,"redundant",-1,"BAT1CA","weight","B"
2,"ordinary",0,"BAT1CA","weight","B"
3,"ordinary",0,"BAT1CA","weight","B"
4,"ordinary",0,"BAT1CA","weight","B"
5,"ordinary",0,"BAT1CA","weight","B"
6,"redundant",-1,"BAT1CA","weight","B"
7,"ordinary",0,"BAT1CA","weight","B"
8,"redundant",-1,"BAT1CA","weight","B"
9,"ordinary",0,"BAT1CA","weight","B"
10,"ordinary",0,"BAT1CA","weight","B"
11,"ordinary",0,"BAT1CA","weight","B"
12,"ordinary",0,"BAT1CA","weight","B"
13,"ordinary",0,"BAT1CA","weight","B"
14,"ordinary",0,"BAT1CA","weight","B"
15,"redundant",-1,"BAT1CA","weight","B"
16,"redundant",-1,"BAT1CA","weight","B"
17,"redundant",-1,"BAT1CA","weight","B"
18,"redundant",-1,"BAT1CA","weight","B"
19,"redundant",-1,"BAT1CA","weight","B"
20,"redundant",-1,"BAT1CA","weight","B"
21,"redundant",-1,"BAT1CA","weight","B"
22,"redundant",-1,"BAT1CA","weight","B"
23,"redundant",-1,"BAT1CA","weight","B"
24,"redundant",-1,"BAT1CA","weight","B"
25,"redundant",-1,"BAT1CA","weight","B"
26,"redundant",-1,"BAT1CA","weight","B"
27,"redundant",-1,"BAT1CA","weight","B"
28,"redundant",-1,"BAT1CA","weight","B"
29,"redundant",-1,"BAT1CA","weight","B"
30,"redundant",-1,"BAT1CA","weight","B"
31,"redundant",-1,"BAT1CA","weight","B"
32,"redundant",-1,"BAT1CA","weight","B"
33,"redundant",-1,"BAT1CA","weight","B"
34,"redundant",-1,"BAT1CA","weight","B"
35,"redundant",-1,"BAT1CA","weight","B"
1,"ordinary",0,"BAT1CA","z-bi","all"
2,"ordinary",0,"BAT1CA","z-bi","all"
3,"ordinary",0,"BAT1CA","z-bi","all"
4,"redundant",-1,"BAT1CA","z-bi","all"
5,"ordinary",0,"BAT1CA","z-bi","all"
6,"ordinary",0,"BAT1CA","z-bi","all"
7,"ordinary",0,"BAT1CA","z-bi","all"
8,"redundant",-1,"BAT1CA","z-bi","all"
9,"ordinary",0,"BAT1CA","z-bi","all"
10,"redundant",-1,"BAT1CA","z-bi","all"
11,"ordinary",0,"BAT1CA","z-bi","all"
12,"ordinary",0,"BAT1CA","z-bi","all"
13,"ordinary",0,"BAT1CA","z-bi","all"
14,"ordinary",0,"BAT1CA","z-bi","all"
15,"redundant",-1,"BAT1CA","z-bi","all"
16,"redundant",-1,"BAT1CA","z-bi","all"
17,"redundant",-1,"BAT1CA","z-bi","all"
18,"redundant",-1,"BAT1CA","z-bi","all"
19,"redundant",-1,"BAT1CA","z-bi","all"
20,"redundant",-1,"BAT1CA","z-bi","all"
21,"redundant",-1,"BAT1CA","z-bi","all"
22,"redundant",-1,"BAT1CA","z-bi","all"
23,"redundant",-1,"BAT1CA","z-bi","all"
24,"redundant",-1,"BAT1CA","z-bi","all"
25,"redundant",-1,"BAT1CA","z-bi","all"
26,"redundant",-1,"BAT1CA","z-bi","all"
27,"redundant",-1,"BAT1CA","z-bi","all"
28,"redundant",-1,"BAT1CA","z-bi","all"
29,"redundant",-1,"BAT1CA","z-bi","all"
30,"redundant",-1,"BAT1CA","z-bi","all"
31,"redundant",-1,"BAT1CA","z-bi","all"
32,"redundant",-1,"BAT1CA","z-bi","all"
33,"redundant",-1,"BAT1CA","z-bi","all"
34,"redundant",-1,"BAT1CA","z-bi","all"
35,"redundant",-1,"BAT1CA","z-bi","all"
1,"ordinary",0,"BAT2CA","AB","A"
2,"ordinary",0,"BAT2CA","AB","A"
3,"ordinary",0,"BAT2CA","AB","A"
4,"redundant",-1,"BAT2CA","AB","A"
5,"ordinary",0,"BAT2CA","AB","A"
6,"ordinary",0,"BAT2CA","AB","A"
7,"ordinary",0,"BAT2CA","AB","A"
8,"ordinary",0,"BAT2CA","AB","A"
9,"redundant",-1,"BAT2CA","AB","A"
10,"ordinary",0,"BAT2CA","AB","A"
11,"redundant",-1,"BAT2CA","AB","A"
12,"redundant",-1,"BAT2CA","AB","A"
13,"redundant",-1,"BAT2CA","AB","A"
14,"redundant",-1,"BAT2CA","AB","A"
15,"redundant",-1,"BAT2CA","AB","A"
16,"redundant",-1,"BAT2CA","AB","A"
17,"redundant",-1,"BAT2CA","AB","A"
18,"redundant",-1,"BAT2CA","AB","A"
19,"redundant",-1,"BAT2CA","AB","A"
20,"redundant",-1,"BAT2CA","AB","A"
21,"redundant",-1,"BAT2CA","AB","A"
22,"redundant",-1,"BAT2CA","AB","A"
23,"redundant",-1,"BAT2CA","AB","A"
24,"redundant",-1,"BAT2CA","AB","A"
25,"redundant",-1,"BAT2CA","AB","A"
26,"redundant",-1,"BAT2CA","AB","A"
27,"redundant",-1,"BAT2CA","AB","A"
28,"redundant",-1,"BAT2CA","AB","A"
29,"redundant",-1,"BAT2CA","AB","A"
30,"redundant",-1,"BAT2CA","AB","A"
31,"redundant",-1,"BAT2CA","AB","A"
32,"redundant",-1,"BAT2CA","AB","A"
33,"redundant",-1,"BAT2CA","AB","A"
34,"redundant",-1,"BAT2CA","AB","A"
35,"redundant",-1,"BAT2CA","AB","A"
36,"redundant",-1,"BAT2CA","AB","A"
37,"redundant",-1,"BAT2CA","AB","A"
38,"redundant",-1,"BAT2CA","AB","A"
39,"redundant",-1,"BAT2CA","AB","A"
40,"redundant",-1,"BAT2CA","AB","A"
41,"redundant",-1,"BAT2CA","AB","A"
42,"redundant",-1,"BAT2CA","AB","A"
43,"redundant",-1,"BAT2CA","AB","A"
44,"redundant",-1,"BAT2CA","AB","A"
45,"redundant",-1,"BAT2CA","AB","A"
46,"redundant",-1,"BAT2CA","AB","A"
47,"redundant",-1,"BAT2CA","AB","A"
48,"redundant",-1,"BAT2CA","AB","A"
49,"redundant",-1,"BAT2CA","AB","A"
50,"redundant",-1,"BAT2CA","AB","A"
51,"redundant",-1,"BAT2CA","AB","A"
52,"redundant",-1,"BAT2CA","AB","A"
53,"redundant",-1,"BAT2CA","AB","A"
54,"redundant",-1,"BAT2CA","AB","A"
