net,net_name,n_pla,n_pol,inv,site,invader,study,method
1,BAT1CA,9,26,FALSE,BAT,car,bartomeus,visitation
2,BAT2CA,10,47,TRUE,BAT,car,bartomeus,visitation
3,FRA1OP,7,24,FALSE,FRA,op,bartomeus,visitation
4,FRA2OP,8,25,TRUE,FRA,op,bartomeus,visitation
5,MED1CA,10,25,FALSE,MED,car,bartomeus,visitation
6,MED2CA,14,43,TRUE,MED,car,bartomeus,visitation
7,MED3CA,10,30,FALSE,FAR,car,bartomeus,visitation
8,MED4CA,11,27,TRUE,FAR,car,bartomeus,visitation
9,MIQ1OP,8,27,FALSE,MIQ,op,bartomeus,visitation
10,MIQ2OP,8,24,TRUE,MIQ,op,bartomeus,visitation
11,SEL1OP,9,21,FALSE,SEL,op,bartomeus,visitation
12,SEL2OP,9,28,TRUE,SEL,op,bartomeus,visitation
13,bal_vis,5,16,NA,BRI,NA,ballantyne,visitation
14,bal_eff,5,16,NA,BRI,NA,ballantyne,deposition
15,bal_imp,5,16,NA,BRI,NA,ballantyne,importance
16,bal_bin,5,16,NA,BRI,NA,ballantyne,binary
17,AC_ctl,8,49,TRUE,AC,imp,lopezaraiza,visitation
18,AC_exp,6,31,FALSE,AC,imp,lopezaraiza,visitation
19,CD_ctl,15,72,TRUE,CD,imp,lopezaraiza,visitation
20,CD_exp,5,43,FALSE,CD,imp,lopezaraiza,visitation
21,RF_ctl,11,75,TRUE,RF,imp,lopezaraiza,visitation
22,RF_exp,12,43,FALSE,RF,imp,lopezaraiza,visitation
23,SA_ctl,6,48,TRUE,SA,imp,lopezaraiza,visitation
24,SA_exp,3,16,FALSE,SA,imp,lopezaraiza,visitation
