data_point_number,date,time_unbagged,time_of_visit,plant_species,visitor_group,visitor_extra_information,length_of_visit,conspecific_pollen_deposited_(before_control_values_removed),conspecific_pollen_deposited,Pollen_or_nectar_collected,Legitimate_oR_Robbing_visit,observer
1,21/06/13,14:25,16:12,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,14,14,P,L,1
2,21/06/13,14:25,16:12,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,0,0,P,L,1
3,21/06/13,14:25,16:12,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,13,13,P,L,1
4,21/06/13,14:25,17:28,Erica_tetralix,ant,Lasius,46,70,70,P,L,1
5,21/06/13,14:25,17:28,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,0,0,P,L,1
6,21/06/13,14:25,17:28,Erica_tetralix,ant,Lasius,6,0,0,P,L,1
7,23/07/13,07:45,08:10,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,7,7,N,R,1
8,23/07/13,07:45,08:10,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,0,0,N,R,1
9,23/07/13,07:45,08:10,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,2,2,N,R,1
10,23/07/13,07:45,08:10,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,0,0,N,R,1
11,23/07/13,07:45,08:22,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,0,0,P,L,1
12,23/07/13,07:45,08:22,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,20,20,P,L,1
13,23/07/13,07:45,08:22,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,23,23,P,L,1
14,23/07/13,07:45,08:22,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,14,14,P,L,1
15,23/07/13,07:45,08:55,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,0,0,N,R,1
16,23/07/13,07:45,08:55,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,0,0,N,R,1
17,23/07/13,07:45,08:55,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,1,1,N,R,1
18,23/07/13,07:45,08:55,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,0,0,N,R,1
19,23/07/13,07:45,08:55,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,0,0,N,R,1
20,23/07/13,07:45,08:55,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,0,0,N,R,1
21,23/07/13,07:45,08:55,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,0,0,N,R,1
22,23/07/13,07:45,08:55,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,3,3,N,R,1
23,23/07/13,07:45,08:55,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,0,0,N,R,1
24,23/07/13,07:45,08:55,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,0,0,N,R,1
25,23/07/13,07:45,08:55,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,0,0,N,R,1
26,23/07/13,07:45,09:50,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,0,0,N,R,1
27,23/07/13,07:45,09:50,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,1,1,N,R,1
28,23/07/13,07:45,09:50,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,6,6,N,R,1
29,23/07/13,07:45,09:50,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,0,0,N,R,1
30,23/07/13,07:45,09:50,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,3,3,N,R,1
31,23/07/13,07:45,09:50,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,21,21,N,R,1
32,23/07/13,07:45,09:56,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,NA,0,0,N,R,1
33,23/07/13,07:45,11:04,Erica_tetralix,Bombus_pascuorum,Bombus_pascuorum,NA,98,98,P,L,1
34,23/07/13,07:45,11:04,Erica_tetralix,Bombus_pascuorum,Bombus_pascuorum,NA,0,0,P,L,1
