"l","robustness","d_driver"
1,"redundant",0
2,"redundant",0
3,"redundant",0
4,"redundant",0
5,"redundant",0
6,"redundant",0
7,"redundant",0
8,"redundant",0
9,"critical",1
10,"redundant",0
11,"redundant",0
12,"redundant",0
13,"redundant",0
14,"redundant",0
15,"redundant",0
16,"redundant",0
17,"redundant",0
18,"redundant",0
19,"redundant",0
20,"redundant",0
21,"redundant",0
22,"critical",1
23,"redundant",0
24,"redundant",0
25,"redundant",0
26,"redundant",0
27,"redundant",0
28,"redundant",0
29,"redundant",0
30,"redundant",0
31,"redundant",0
32,"redundant",0
33,"redundant",0
34,"redundant",0
35,"redundant",0
36,"redundant",0
37,"redundant",0
38,"redundant",0
39,"redundant",0
40,"redundant",0
41,"critical",1
42,"redundant",0
43,"redundant",0
44,"redundant",0
45,"redundant",0
46,"redundant",0
47,"redundant",0
48,"redundant",0
49,"redundant",0
50,"redundant",0
51,"redundant",0
52,"redundant",0
53,"redundant",0
54,"critical",1
55,"redundant",0
56,"redundant",0
57,"redundant",0
58,"redundant",0
59,"redundant",0
60,"redundant",0
61,"redundant",0
62,"redundant",0
63,"redundant",0
64,"redundant",0
