"l","robustness"
1,"redundant"
2,"redundant"
3,"redundant"
4,"redundant"
5,"redundant"
6,"redundant"
7,"redundant"
8,"redundant"
9,"critical"
10,"critical"
11,"redundant"
12,"redundant"
13,"redundant"
14,"redundant"
15,"redundant"
16,"redundant"
17,"redundant"
18,"redundant"
19,"redundant"
20,"redundant"
21,"redundant"
22,"redundant"
23,"redundant"
24,"redundant"
25,"redundant"
26,"redundant"
27,"redundant"
28,"redundant"
29,"redundant"
30,"redundant"
31,"critical"
32,"critical"
33,"redundant"
34,"redundant"
35,"redundant"
36,"redundant"
37,"redundant"
38,"redundant"
39,"redundant"
40,"redundant"
41,"redundant"
42,"redundant"
