"l","robustness","d_driver"
1,"critical",1
2,"redundant",0
3,"redundant",0
4,"redundant",0
5,"redundant",0
6,"redundant",0
7,"redundant",0
8,"redundant",0
9,"redundant",0
10,"redundant",0
11,"redundant",0
12,"redundant",0
13,"redundant",0
14,"redundant",0
15,"redundant",0
16,"redundant",0
17,"redundant",0
18,"redundant",0
19,"redundant",0
20,"redundant",0
21,"redundant",0
22,"redundant",0
23,"redundant",0
24,"redundant",0
25,"redundant",0
26,"redundant",0
27,"redundant",0
28,"redundant",0
29,"redundant",0
30,"redundant",0
31,"redundant",0
32,"redundant",0
33,"redundant",0
34,"critical",1
35,"redundant",0
36,"redundant",0
37,"redundant",0
38,"redundant",0
39,"redundant",0
40,"redundant",0
41,"redundant",0
42,"redundant",0
43,"redundant",0
44,"redundant",0
45,"redundant",0
46,"redundant",0
47,"redundant",0
48,"redundant",0
49,"redundant",0
50,"redundant",0
51,"redundant",0
52,"redundant",0
53,"redundant",0
54,"redundant",0
55,"redundant",0
56,"redundant",0
57,"redundant",0
58,"redundant",0
59,"redundant",0
60,"redundant",0
61,"redundant",0
62,"redundant",0
63,"redundant",0
64,"redundant",0
65,"redundant",0
66,"redundant",0
67,"redundant",0
68,"redundant",0
69,"redundant",0
70,"redundant",0
71,"redundant",0
72,"redundant",0
73,"redundant",0
74,"redundant",0
75,"redundant",0
76,"redundant",0
77,"redundant",0
78,"redundant",0
79,"redundant",0
80,"redundant",0
81,"redundant",0
82,"redundant",0
83,"redundant",0
84,"redundant",0
85,"critical",1
86,"critical",1
87,"redundant",0
88,"redundant",0
89,"redundant",0
90,"redundant",0
91,"redundant",0
92,"redundant",0
93,"redundant",0
94,"redundant",0
95,"redundant",0
96,"redundant",0
97,"redundant",0
98,"redundant",0
99,"redundant",0
100,"redundant",0
101,"redundant",0
102,"redundant",0
103,"redundant",0
104,"redundant",0
105,"redundant",0
106,"redundant",0
107,"redundant",0
108,"redundant",0
109,"redundant",0
110,"redundant",0
111,"redundant",0
112,"redundant",0
113,"redundant",0
114,"redundant",0
115,"redundant",0
116,"redundant",0
117,"redundant",0
118,"redundant",0
119,"critical",1
120,"redundant",0
121,"redundant",0
122,"redundant",0
123,"redundant",0
124,"redundant",0
125,"redundant",0
126,"redundant",0
127,"redundant",0
128,"redundant",0
129,"redundant",0
130,"redundant",0
131,"redundant",0
132,"redundant",0
133,"redundant",0
134,"redundant",0
135,"redundant",0
136,"redundant",0
137,"redundant",0
138,"redundant",0
139,"redundant",0
140,"redundant",0
141,"redundant",0
142,"redundant",0
143,"redundant",0
144,"redundant",0
145,"redundant",0
146,"redundant",0
147,"redundant",0
148,"redundant",0
149,"redundant",0
150,"redundant",0
151,"redundant",0
152,"redundant",0
153,"redundant",0
154,"redundant",0
155,"redundant",0
156,"redundant",0
157,"redundant",0
158,"redundant",0
159,"redundant",0
160,"redundant",0
161,"redundant",0
162,"redundant",0
163,"redundant",0
164,"redundant",0
165,"redundant",0
166,"redundant",0
167,"redundant",0
168,"redundant",0
169,"redundant",0
170,"critical",1
