"l","robustness","d_driver"
1,"redundant",0
2,"redundant",0
3,"redundant",0
4,"redundant",0
5,"redundant",0
6,"redundant",0
7,"redundant",0
8,"redundant",0
9,"redundant",0
10,"redundant",0
11,"redundant",0
12,"redundant",0
13,"redundant",0
14,"ordinary",-1
15,"redundant",0
16,"redundant",0
17,"redundant",0
18,"redundant",0
19,"redundant",0
20,"redundant",0
21,"redundant",0
22,"redundant",0
23,"redundant",0
24,"redundant",0
25,"redundant",0
26,"redundant",0
27,"redundant",0
28,"ordinary",-2
29,"redundant",0
30,"redundant",0
31,"redundant",0
32,"redundant",0
33,"ordinary",-1
34,"redundant",0
35,"redundant",0
36,"ordinary",-1
37,"redundant",0
38,"redundant",0
39,"redundant",0
40,"redundant",0
41,"redundant",0
42,"redundant",0
43,"ordinary",-1
44,"ordinary",-1
45,"ordinary",-1
46,"redundant",0
47,"redundant",0
48,"redundant",0
49,"redundant",0
50,"ordinary",-1
51,"ordinary",-1
52,"ordinary",-1
53,"ordinary",-1
54,"redundant",0
55,"redundant",0
56,"ordinary",-2
57,"ordinary",-1
58,"redundant",0
59,"ordinary",-1
60,"redundant",0
61,"ordinary",-1
62,"redundant",0
63,"redundant",0
64,"ordinary",-1
65,"ordinary",-1
66,"ordinary",-1
67,"redundant",0
68,"redundant",0
69,"ordinary",-1
70,"ordinary",-1
71,"ordinary",-1
72,"redundant",0
73,"ordinary",-1
74,"ordinary",-1
75,"redundant",0
76,"redundant",0
77,"redundant",0
78,"redundant",0
79,"redundant",0
80,"redundant",0
81,"ordinary",-1
82,"ordinary",-1
83,"ordinary",-1
84,"critical",1
