"n","robustness"
1,"ordinary"
2,"critical"
3,"critical"
4,"ordinary"
5,"critical"
6,"ordinary"
7,"ordinary"
8,"redundant"
9,"critical"
10,"ordinary"
11,"critical"
12,"ordinary"
13,"critical"
14,"critical"
15,"critical"
16,"redundant"
17,"redundant"
18,"redundant"
19,"redundant"
20,"redundant"
21,"redundant"
22,"redundant"
23,"redundant"
24,"redundant"
25,"redundant"
26,"redundant"
27,"redundant"
28,"redundant"
29,"redundant"
30,"redundant"
31,"redundant"
32,"redundant"
33,"redundant"
34,"redundant"
35,"redundant"
