"n","robustness","d_driver"
1,"ordinary",0
2,"ordinary",0
3,"ordinary",0
4,"ordinary",0
5,"ordinary",0
6,"critical",1
7,"redundant",-1
8,"ordinary",0
9,"ordinary",0
10,"ordinary",0
11,"ordinary",0
12,"ordinary",0
13,"ordinary",0
14,"ordinary",0
15,"ordinary",0
16,"ordinary",0
17,"ordinary",0
18,"ordinary",0
19,"ordinary",0
20,"ordinary",0
21,"ordinary",0
22,"redundant",-1
23,"redundant",-1
24,"redundant",-1
25,"redundant",-1
26,"ordinary",0
27,"redundant",-1
28,"redundant",-1
29,"redundant",-1
30,"redundant",-1
31,"redundant",-1
32,"redundant",-1
33,"redundant",-1
34,"ordinary",0
35,"redundant",-1
36,"ordinary",0
37,"redundant",-1
38,"redundant",-1
39,"redundant",-1
40,"redundant",-1
41,"redundant",-1
42,"redundant",-1
43,"redundant",-1
44,"redundant",-1
45,"redundant",-1
46,"redundant",-1
47,"redundant",-1
48,"redundant",-1
49,"redundant",-1
50,"redundant",-1
51,"redundant",-1
52,"redundant",-1
53,"redundant",-1
54,"redundant",-1
55,"redundant",-1
56,"redundant",-1
57,"redundant",-1
