"n","robustness","d_driver"
1,"ordinary",0
2,"ordinary",0
3,"ordinary",0
4,"ordinary",0
5,"ordinary",0
6,"ordinary",0
7,"ordinary",0
8,"ordinary",0
9,"critical",1
10,"ordinary",0
11,"redundant",-1
12,"ordinary",0
13,"redundant",-1
14,"ordinary",0
15,"redundant",-1
16,"redundant",-1
17,"redundant",-1
18,"redundant",-1
19,"redundant",-1
20,"redundant",-1
21,"ordinary",0
22,"ordinary",0
23,"redundant",-1
24,"redundant",-1
25,"redundant",-1
26,"redundant",-1
27,"redundant",-1
28,"redundant",-1
29,"redundant",-1
30,"redundant",-1
31,"redundant",-1
32,"redundant",-1
33,"redundant",-1
34,"redundant",-1
35,"redundant",-1
36,"redundant",-1
37,"redundant",-1
38,"ordinary",0
