"n","robustness"
1,"critical"
2,"ordinary"
3,"ordinary"
4,"critical"
5,"critical"
6,"redundant"
7,"ordinary"
8,"ordinary"
9,"ordinary"
10,"ordinary"
11,"ordinary"
12,"ordinary"
13,"ordinary"
14,"ordinary"
15,"ordinary"
16,"ordinary"
17,"ordinary"
18,"redundant"
19,"redundant"
20,"redundant"
21,"redundant"
22,"redundant"
23,"redundant"
24,"ordinary"
25,"redundant"
26,"ordinary"
27,"redundant"
28,"ordinary"
29,"redundant"
30,"redundant"
31,"redundant"
32,"redundant"
33,"redundant"
34,"redundant"
35,"ordinary"
36,"redundant"
37,"redundant"
38,"redundant"
