"n","robustness"
1,"ordinary"
2,"redundant"
3,"ordinary"
4,"ordinary"
5,"ordinary"
6,"ordinary"
7,"redundant"
8,"ordinary"
9,"redundant"
10,"redundant"
11,"redundant"
12,"redundant"
13,"redundant"
14,"redundant"
15,"ordinary"
16,"redundant"
17,"redundant"
18,"redundant"
19,"redundant"
20,"redundant"
21,"redundant"
22,"ordinary"
23,"ordinary"
24,"redundant"
25,"redundant"
26,"redundant"
27,"redundant"
28,"redundant"
29,"ordinary"
30,"redundant"
31,"redundant"
32,"redundant"
33,"redundant"
34,"redundant"
35,"redundant"
36,"redundant"
37,"redundant"
