"n","robustness","d_driver"
1,"ordinary",0
2,"redundant",-1
3,"ordinary",0
4,"ordinary",0
5,"ordinary",0
6,"ordinary",0
7,"ordinary",0
8,"ordinary",0
9,"redundant",-1
10,"redundant",-1
11,"redundant",-1
12,"redundant",-1
13,"redundant",-1
14,"redundant",-1
15,"ordinary",0
16,"redundant",-1
17,"redundant",-1
18,"redundant",-1
19,"redundant",-1
20,"redundant",-1
21,"redundant",-1
22,"ordinary",0
23,"ordinary",0
24,"redundant",-1
25,"redundant",-1
26,"redundant",-1
27,"redundant",-1
28,"redundant",-1
29,"ordinary",0
30,"redundant",-1
31,"redundant",-1
32,"redundant",-1
33,"redundant",-1
34,"redundant",-1
35,"redundant",-1
36,"redundant",-1
37,"redundant",-1
